92-U-233(n,total fission) ENDF/B-VII.1
73.0738,17.3485
73.1436,18.4947
73.1959,20.4985
73.2395,23.4808
73.2744,27.1426
73.3093,32.3056
73.3485,40.2747
73.3967,53.4052
73.5226,95.9418
73.5786,108.692
73.6279,112.165
73.6787,108.45
73.8003,90.4904
73.837,88.5726
73.8922,91.4056
73.9585,102.835
74.0848,132.655
74.1588,142.827
74.1796,143.73
74.2413,140.921
74.3254,125.996
74.5086,80.1453
74.5916,64.0802
74.6672,53.4303
74.7344,46.8449
74.8149,42.2019
74.8686,41.134
74.9236,41.8382
75.0057,46.0607
75.173,57.995
75.2888,63.9438
75.3582,70.9908
75.4236,83.1397
75.583,125.817
75.6387,134.107
75.6628,134.992
75.7162,130.484
75.7784,115.416
75.9263,65.5795
75.9861,49.8622
76.0403,39.3947
76.0948,31.9815
76.1493,26.8856
76.2095,23.1
76.2698,20.6039
76.3502,18.5632
76.4306,17.5016
76.5094,17.1345
76.6573,17.6284
76.8696,18.6586
77.0111,18.2117
77.2587,16.7774
77.3391,16.6469
77.5043,17.198
77.6324,18.5628
77.7418,20.7064
77.8331,23.5831
77.9224,27.8702
78.0054,33.6224
78.112,43.7201
78.2684,59.7195
78.3513,64.4214
78.3773,64.9285
78.4699,62.8924
78.5934,53.8931
78.7432,42.2371
78.862,36.0685
78.9934,32.3116
79.1496,30.7057
79.1768,30.6748
79.3262,31.7852
79.4395,34.398
79.5527,39.3623
79.6517,46.4743
79.8625,67.6055
79.9306,71.7846
79.967,72.4297
80.0307,70.4312
80.0996,64.1992
80.2971,38.4871
80.3735,31.0169
80.4404,26.3229
80.5201,22.5238
80.6156,19.7056
80.7111,18.044
80.8382,16.8609
81.0098,16.3911
81.1921,16.9966
81.3204,18.2147
81.4554,20.4666
81.7389,27.7568
81.8577,29.4918
81.9171,29.6967
81.9981,29.6558
82.1266,30.5943
82.2221,33.271
82.3478,39.3989
82.6318,56.4864
82.7072,63.919
82.776,74.9802
82.9108,102.846
82.9614,107.455
82.9738,107.475
83.0207,103.101
83.066,92.6294
83.2019,46.9344
83.2416,36.1497
83.2812,27.8951
83.3161,22.5901
83.3492,18.9749
83.3869,16.1041
83.4341,13.7868
83.5001,11.8582
83.5931,10.2369
83.7467,8.51242
83.9405,7.03095
84.0624,6.4538
84.1743,6.27007
84.269,6.44351
