48-Cd-113(n,&gamma;) ENDF/B-VII.1
217.468,1.48931
217.699,1.2154
217.969,0.984437
218.268,0.799702
218.611,0.647955
219.013,0.521116
219.432,0.426609
219.954,0.343007
220.553,0.276004
221.221,0.223825
221.94,0.184334
222.778,0.151979
223.781,0.125386
224.959,0.104675
226.173,0.0913187
227.4,0.0843763
227.911,0.0836025
228.678,0.0858186
229.253,0.0918132
229.701,0.101336
230.084,0.11594
230.34,0.131724
230.573,0.153733
230.749,0.17865
230.889,0.207738
231.012,0.245446
231.097,0.28352
231.175,0.334272
231.242,0.397289
231.298,0.471114
231.354,0.573395
231.412,0.720801
231.459,0.888467
231.507,1.11003
231.555,1.40021
231.603,1.77573
231.653,2.27258
231.71,3.01464
231.768,3.96102
231.835,5.34955
231.919,7.53438
232.052,11.7427
232.216,16.9027
232.323,19.115
232.41,19.7093
232.51,18.9139
232.617,16.5266
232.896,7.66277
232.98,5.45628
233.052,3.95952
233.112,2.98212
233.171,2.22325
233.228,1.67745
233.279,1.30314
233.33,1.01969
233.381,0.807702
233.429,0.658995
233.487,0.528225
233.544,0.435044
233.611,0.358767
233.688,0.299321
233.774,0.253929
233.889,0.213357
234.033,0.17973
234.201,0.153242
234.411,0.130751
234.673,0.112269
234.988,0.0982833
235.333,0.0892102
235.736,0.0844872
235.851,0.0842384
236.194,0.0872815
236.384,0.0929168
236.527,0.101037
236.645,0.11301
236.738,0.128612
236.819,0.149809
236.888,0.176752
236.957,0.215404
237.026,0.270098
237.094,0.343936
237.166,0.45034
237.238,0.590177
237.321,0.796194
237.438,1.16077
237.654,1.89643
237.758,2.14615
237.864,2.2458
237.87,2.24604
237.958,2.18208
238.062,1.96104
238.22,1.44317
238.379,0.9072
238.469,0.661405
238.548,0.491717
238.618,0.376277
238.689,0.289564
238.749,0.234176
238.818,0.187475
238.887,0.154495
238.967,0.128226
239.048,0.110728
239.146,0.0967389
239.271,0.0855045
239.471,0.0749656
239.771,0.0663487
240.131,0.060731
240.652,0.0564833
241.632,0.0533929
242.353,0.0529388
243.954,0.0547032
245.933,0.0608747
247.554,0.0697956
248.916,0.081671
249.917,0.0954175
250.517,0.108383
250.918,0.122036
251.188,0.137161
251.368,0.154504
251.504,0.177315
251.594,0.202124
251.677,0.236703
251.753,0.283182
251.829,0.349607
251.905,0.442426
251.985,0.575664
252.069,0.76078
252.176,1.06337
252.456,2.01753
252.56,2.27467
252.667,2.38821
252.681,2.38979
252.78,2.31286
252.876,2.10642
253.036,1.58844
253.202,1.03584
253.301,0.769449
253.382,0.600611
253.463,0.474277
253.541,0.387114
253.621,0.325524
253.701,0.284799
253.801,0.253845
253.921,0.234496
254.042,0.225733
254.242,0.222214
254.642,0.231842
255.143,0.25863
255.744,0.307913
256.304,0.374584
256.823,0.462969
257.282,0.574374
257.68,0.711413
258.015,0.872713
258.332,1.08676
258.604,1.34517
258.826,1.63731
259.048,2.04578
259.22,2.48987
259.384,3.07925
259.52,3.78195
259.619,4.50755
259.71,5.42919
259.783,6.45501
259.852,7.81835
259.922,9.72039
259.983,12.077
260.045,15.3165
260.103,19.4186
260.16,24.8335
260.217,31.942
260.28,42.2892
260.341,55.0636
260.406,72.3581
260.49,100.219
260.589,141.561
260.849,262.945
260.954,297.537
261.062,311.753
261.069,311.813
261.172,300.609
261.277,268.296
261.454,186.788
261.601,119.277
261.696,84.1338
261.768,62.6815
261.839,46.3172
261.904,34.7635
261.964,26.7011
262.018,21.0911
262.076,16.6096
262.133,13.2546
262.19,10.7544
262.258,8.59146
262.33,6.9648
262.412,5.68733
262.503,4.69963
262.611,3.87388
262.747,3.15907
262.915,2.55146
263.105,2.07329
263.328,1.68499
263.572,1.3871
263.844,1.15622
264.116,0.993849
264.447,0.858072
264.778,0.769797
265.109,0.716959
265.568,0.691801
265.95,0.71216
266.29,0.76728
266.63,0.869859
266.927,1.01848
267.156,1.19153
267.379,1.44039
267.565,1.74656
267.708,2.08601
267.828,2.48529
267.924,2.93171
268.022,3.58718
268.106,4.40153
268.18,5.43832
268.245,6.70319
268.307,8.34907
268.369,10.5719
268.431,13.5501
268.498,17.7971
268.562,23.1486
268.636,31.265
268.712,41.971
268.809,58.9985
268.973,94.4619
269.121,126.301
269.235,143.818
269.341,150.138
269.349,150.176
269.45,145.193
269.562,129.262
269.743,90.6254
269.896,57.8446
269.992,41.2415
270.073,30.1961
270.136,23.3462
270.206,17.5064
270.27,13.5022
270.334,10.5033
270.391,8.48531
270.447,7.00045
270.505,5.86005
270.577,4.85191
270.655,4.1443
270.715,3.79636
270.795,3.53762
270.875,3.46499
270.991,3.61388
271.164,4.17606
271.356,4.79068
271.454,4.89502
271.574,4.72897
271.692,4.25685
271.903,2.99242
272.057,2.08067
272.162,1.59011
272.257,1.24936
272.345,1.01671
272.425,0.859336
272.517,0.73013
272.632,0.621085
272.777,0.533599
272.952,0.464572
273.252,0.386651
273.633,0.320017
274.088,0.264355
274.644,0.216824
275.245,0.180598
275.946,0.150697
276.668,0.128939
277.45,0.112486
278.233,0.101814
278.907,0.0975119
279.132,0.0974319
279.632,0.101315
279.931,0.108479
280.175,0.12025
280.337,0.134938
280.459,0.15443
280.54,0.17553
280.618,0.206567
280.681,0.243184
280.743,0.295209
280.806,0.368786
280.862,0.459836
280.918,0.581403
280.981,0.761536
281.046,1.01332
281.112,1.34099
281.184,1.79982
281.269,2.4799
281.39,3.66781
281.59,5.76432
281.698,6.59862
281.808,6.99007
281.829,7.00098
281.93,6.76396
282.045,5.97952
282.235,4.03082
282.371,2.65036
282.464,1.87981
282.536,1.40557
282.6,1.067
282.665,0.80397
282.723,0.623022
282.778,0.492526
282.832,0.393286
282.887,0.318796
282.942,0.26342
283.007,0.215675
283.067,0.185125
283.142,0.158195
283.235,0.136167
283.366,0.117307
283.554,0.101703
283.816,0.0892178
284.128,0.0806815
284.628,0.0737484
285.146,0.0711347
285.319,0.0709563
286.039,0.073311
286.579,0.0785261
287.119,0.0877055
287.599,0.101075
287.97,0.117257
288.22,0.133991
288.42,0.155491
288.56,0.180397
288.68,0.214214
288.78,0.256269
288.876,0.312954
288.984,0.400092
289.11,0.534819
289.424,0.941974
289.556,1.06607
289.688,1.11976
289.722,1.1215
289.88,1.07981
290.083,1.00318
290.102,1.00172
290.178,1.01753
290.256,1.08498
290.316,1.1888
290.386,1.39203
290.446,1.66413
290.506,2.06096
290.564,2.60333
290.62,3.32071
290.676,4.28057
290.732,5.54102
290.793,7.31886
290.859,9.79898
290.924,12.9414
291.002,17.6377
291.109,25.5537
291.358,46.9142
291.485,54.9265
291.594,57.7593
291.61,57.8027
291.709,55.9476
291.818,50.0797
