96-Cm-245(n,total fission) ENDF/B-VII.1
59.0041,78.2922
59.0677,63.8311
59.142,52.0595
59.2154,43.8765
59.3096,36.5746
59.4038,31.6387
59.5085,28.0631
59.6132,26.0155
59.7471,25.1353
59.7723,25.1259
59.8895,25.2292
60.0123,24.5624
60.1742,21.6977
60.3306,18.6726
60.4366,17.288
60.5762,16.3006
60.7158,16.0129
60.9251,16.5304
61.1311,18.0464
61.3351,20.7555
61.505,24.3871
61.6409,28.759
61.7598,34.3274
61.8651,41.3711
61.9738,51.5756
62.1097,68.7803
62.3217,96.6655
62.4549,114.428
62.5283,130.614
62.6096,157.31
62.783,222.607
63.076,310.457
63.1646,320.162
63.2305,311.6
63.3312,274.901
63.539,171.636
63.6318,135.562
63.72,109.999
63.8081,91.7246
63.8878,80.2789
63.9675,72.7286
64.0689,67.5129
64.3249,61.6124
64.5794,49.1628
64.7057,45.8774
64.7478,45.5448
64.9051,46.8352
65.1508,50.4429
65.1803,50.4796
65.318,48.9458
65.5637,43.5887
65.6301,43.1518
65.7063,43.8396
65.8144,47.3122
65.9953,56.2232
66.0779,57.7427
66.1551,55.8932
66.2488,49.8532
66.4308,35.0687
66.5352,28.9613
66.6396,25.1926
66.7357,23.4464
66.8021,23.0466
66.9148,23.6142
67.1469,26.5612
67.1861,26.692
67.3179,25.6307
67.4771,22.979
67.5832,22.0159
67.6127,21.9722
67.7018,22.5344
67.7909,24.2458
67.8893,27.6045
68.0265,34.6004
68.2592,47.0966
68.4195,55.7012
68.6361,72.1301
68.7392,75.7706
68.7475,75.7804
68.8196,73.9829
68.954,64.1196
69.1019,52.6112
69.239,46.3138
69.4138,39.207
69.6793,24.1299
69.7895,19.5888
69.8843,16.8658
69.9851,14.8636
70.0859,13.5008
70.2204,12.3444
70.3548,11.6986
70.543,11.3908
70.7581,11.7119
70.9893,12.8376
71.1913,14.658
71.358,17.0171
71.5039,20.0539
71.6498,24.5154
71.7769,30.2451
71.879,36.7663
71.979,45.5645
72.0791,57.5294
72.1999,76.6793
72.38,108.635
72.471,119.908
72.5733,125.031
72.6067,125.254
72.6734,124.815
72.7801,126.431
72.8526,132.768
72.9538,151.241
73.13,194.953
73.22,207.913
73.4099,218.615
73.5152,239.225
73.6346,264.75
73.673,266.109
73.7308,257.493
73.7924,234.384
73.9887,125.521
74.0537,97.4483
74.1126,78.0178
74.18,61.6747
74.2498,49.6058
74.3256,40.2875
74.4122,32.7614
74.5085,26.8602
74.6252,21.846
74.7479,18.1365
74.891,15.0606
75.0764,12.3108
75.293,10.138
75.5096,8.64095
75.8006,7.28477
76.0916,6.39715
76.4407,5.72425
76.7732,5.36251
77.1723,5.20588
77.5048,5.29546
77.9205,5.75172
78.253,6.53304
78.5024,7.51966
78.7352,8.91404
78.9962,11.1547
79.3271,14.3073
79.5319,15.2344
79.5532,15.2539
79.7394,14.8922
80.1235,13.4268
80.2149,13.3747
80.3743,13.7592
80.5708,15.21
80.7566,17.6911
81.0872,23.2899
81.2461,24.7058
81.3538,24.8783
81.5562,24.6249
81.7373,25.4617
81.948,28.5233
82.1835,33.8607
82.3613,40.1317
82.6117,53.0561
82.8194,62.9573
82.9607,65.4602
83.0806,63.9054
83.2883,55.6553
83.496,46.6335
83.6384,42.6611
83.7808,41.3279
83.9234,43.1999
84.0423,47.8855
84.1611,56.2365
84.2835,69.0989
84.492,95.154
84.6068,104.454
84.7452,107.438
84.8836,107.116
85.0826,109.213
85.2037,106.421
85.3175,96.9542
85.6001,61.2192
85.7093,51.0464
85.7873,45.9833
85.8837,42.1754
85.9802,40.9749
86.0679,42.0648
86.2066,47.0711
86.3389,52.0182
86.4153,52.9742
86.5298,51.1037
86.7365,44.8721
87.0353,40.2749
87.2432,33.8077
87.447,27.3518
87.5722,24.9138
87.6974,23.8095
87.7392,23.7229
87.8898,24.5302
88.0405,27.0828
88.2365,32.8341
88.4374,39.5262
88.5637,41.9063
88.6096,42.1284
88.7339,40.9378
89.0711,32.1604
89.2098,30.0833
89.2934,29.7776
89.4083,30.7023
89.5531,34.2551
89.9015,46.9799
90.3257,62.0494
90.4279,63.4148
90.6044,61.0955
90.8205,56.5709
90.8879,56.3513
91.0228,58.8993
91.1505,65.3526
91.5265,92.7567
91.7309,107.44
91.8701,124.355
92.1689,171.745
92.2953,182.11
92.3527,183.315
92.6944,173.849
92.9385,176.874
93.0888,170.731
93.2296,152.214
93.5536,91.3847
93.6979,70.2916
93.8388,55.1306
93.9826,43.9718
94.1264,35.9099
94.2907,29.2722
94.4667,24.1963
94.6721,20.0169
94.8775,17.0808
95.1123,14.752
95.403,12.9344
95.7105,12.0204
95.8447,11.9424
96.0461,12.2775
96.2139,13.1384
96.3817,14.8632
96.5075,17.0833
96.6334,20.5178
96.7609,25.5388
96.9858,35.9152
97.0834,38.405
97.1227,38.6702
97.214,37.5506
97.3415,32.9454
97.5294,24.9954
97.657,21.2542
97.7702,19.2691
97.8835,18.2909
97.959,18.0855
98.1352,18.7694
98.292,20.7649
98.4227,23.8025
98.5166,27.2433
98.5981,31.6034
98.6797,37.7485
98.7816,48.221
98.9545,67.7704
99.0557,74.4886
99.2674,79.9261
99.3581,85.5491
99.4764,98.3187
99.7048,128.823
99.8331,138.986
99.938,141.164
99.969,141.055
100.0,140.752
100.0,57.52
105.032,53.7594
109.817,50.5608
114.182,47.9185
120.039,44.7288
123.429,43.0457
129.594,40.2513
136.275,37.5594
141.026,35.8279
146.947,33.8552
155.492,31.2568
162.687,29.2947
168.964,27.7476
176.239,26.1206
181.901,24.9633
190.736,23.3227
200.0,21.79
229.912,20.8811
252.832,20.2833
283.373,19.5885
300.0,19.25
346.41,18.5679
400.0,17.91
422.949,17.2717
459.863,16.3566
500.0,15.49
547.723,14.9661
600.0,14.46
648.074,13.8887
700.0,13.3399
773.735,12.6591
800.0,12.44
845.897,11.7909
882.04,11.3265
939.17,10.6639
1000.0,10.04
1195.53,9.94482
1355.4,9.867
1500.0,9.81
1579.58,9.28541
1649.42,8.86797
1730.83,8.42515
1822.53,7.97521
1909.2,7.59084
2000.0,7.225
2388.2,7.01002
2780.38,6.83086
3000.0,6.743
3223.71,6.40112
3471.9,6.06669
3764.49,5.72177
4000.0,5.476
4782.12,5.54404
5000.0,5.563
5732.66,5.36911
6000.0,5.306
6480.74,5.03283
7000.0,4.77372
7483.31,4.56008
8000.0,4.356
9457.42,4.18994
10000.0,4.136
10996.9,3.935
11884.4,3.77811
12914.8,3.61696
14270.0,3.43262
15000.0,3.344
17011.9,3.19076
18949.8,3.065
20000.0,3.004
22991.2,2.89028
26766.7,2.77113
30000.0,2.685
40000.0,2.645
40000.0,2.64494
57464.2,2.42363
80000.0,2.25801
100000.0,2.265
200000.0,2.134
300000.0,1.887
600000.0,1.641
700000.0,1.599
1200000.0,1.7
1700000.0,1.90199
2000000.0,1.796
4000000.0,1.60599
5000000.0,1.62599
5500000.0,1.565
6250000.0,1.70675
7000000.0,1.892
8000000.0,2.25999
8750000.0,2.36475
1.1E7,2.40032
1.5E7,2.35
2.0E7,2.44999
