95-Am-241(n,total fission) ENDF/B-VII.1
19.681,0.0440572
19.6981,0.0371639
19.7175,0.0314835
19.7419,0.0264658
19.7717,0.0222165
19.8099,0.0185643
19.848,0.0160953
19.896,0.0140136
19.9484,0.0125925
20.0007,0.0118361
20.0357,0.0116971
20.0779,0.012084
20.1089,0.0130625
20.1337,0.0146553
20.1552,0.0170144
20.1756,0.0204914
20.196,0.0255514
20.2171,0.0327143
20.2463,0.0455028
20.2893,0.0655493
20.312,0.0726724
20.333,0.0749889
20.354,0.0726753
20.3811,0.0638358
20.4423,0.0359697
20.4642,0.0282611
20.4833,0.0232799
20.5024,0.0198261
20.5221,0.0175897
20.5458,0.0162417
20.5702,0.0159893
20.5945,0.0166862
20.6189,0.0184228
20.6372,0.0206801
20.6559,0.024324
20.6729,0.0293644
20.6877,0.0357892
20.7025,0.0448327
20.7159,0.0560361
20.731,0.0727156
20.746,0.094607
20.7636,0.127669
20.7855,0.178886
20.8333,0.305085
20.8555,0.347558
20.8776,0.364886
20.8798,0.365028
20.9014,0.351014
20.9256,0.306512
20.9834,0.155974
21.0023,0.115055
21.0179,0.0880618
21.0329,0.0677149
21.0479,0.052328
21.063,0.0410372
21.078,0.0329337
21.0926,0.0273287
21.1084,0.0230533
21.1269,0.0196776
21.148,0.017166
21.1766,0.0150952
21.2134,0.0136289
21.2577,0.0128555
21.2872,0.0127396
21.3404,0.0132128
21.3937,0.0146912
21.4353,0.0169404
21.4662,0.0197261
21.4908,0.0231979
21.5124,0.027791
21.5313,0.0337205
21.5487,0.0415264
21.566,0.0525316
21.5817,0.0660678
21.5973,0.0838925
21.6158,0.111491
21.6378,0.153877
21.6729,0.237907
21.7068,0.316989
21.7266,0.348574
21.7498,0.362631
21.7697,0.352175
21.7917,0.319194
21.8287,0.233355
21.862,0.154278
21.8827,0.114582
21.9012,0.0867637
21.9166,0.0689777
21.932,0.0554487
21.9475,0.0454163
21.9644,0.0375267
21.9814,0.0321091
21.9984,0.0285114
22.0153,0.0262846
22.0397,0.0249551
22.064,0.0254782
22.0883,0.0276607
22.1208,0.0326553
22.1714,0.0414833
22.2003,0.0440306
22.2082,0.0441591
22.2308,0.0430715
22.2627,0.0384109
22.3252,0.0261341
22.3495,0.0225962
22.3738,0.0202209
22.3982,0.018896
22.4298,0.0184044
22.4614,0.0189848
22.4948,0.0207214
22.5255,0.0237833
22.55,0.0279389
22.5715,0.0335458
22.5918,0.0412208
22.614,0.0529298
22.6382,0.0699462
22.7062,0.128962
22.7315,0.144276
22.7595,0.150436
22.7911,0.144841
22.8323,0.133144
22.8382,0.132794
22.8552,0.136013
22.8708,0.146694
22.8875,0.169292
22.9014,0.199516
22.9153,0.242394
22.93,0.303873
22.9472,0.398709
22.9677,0.545216
23.0024,0.853548
23.0335,1.12663
23.056,1.26507
23.0794,1.31868
23.0998,1.28058
23.1245,1.14427
23.1789,0.720805
23.1977,0.610565
23.2169,0.540002
23.2351,0.51341
23.2381,0.512501
23.2564,0.52452
23.3145,0.633434
23.3306,0.642472
23.3546,0.617695
23.3801,0.543373
23.4468,0.261509
23.4677,0.190548
23.4853,0.144595
23.5011,0.113278
23.5169,0.0901431
23.5333,0.0730801
23.5497,0.061337
23.5685,0.0525126
23.5919,0.0459442
23.6158,0.0423028
23.6556,0.0399216
23.67,0.0397747
23.713,0.0409637
23.7513,0.0439363
23.7992,0.0506506
23.8341,0.0585669
23.8658,0.0693132
23.8912,0.0819209
23.9144,0.0987107
23.9355,0.121105
23.9525,0.146684
23.9694,0.182414
23.9835,0.222984
23.9975,0.276619
24.0116,0.346838
24.0271,0.447647
24.044,0.590861
24.0638,0.806424
24.0877,1.13539
24.1441,2.00337
24.1706,2.27389
24.1919,2.34625
24.2123,2.27771
24.2329,2.08512
24.2667,1.59624
24.3061,0.987032
24.3273,0.720226
24.3463,0.531016
24.3611,0.416413
24.3752,0.330747
24.3893,0.264447
24.4034,0.213865
24.4189,0.172331
24.4358,0.13951
24.4527,0.115921
24.4738,0.0951393
24.4992,0.0782533
24.5245,0.0666714
24.5563,0.0566242
24.5959,0.0482047
24.644,0.041665
24.6852,0.0380973
24.7401,0.0354052
24.7676,0.0348962
24.8052,0.0354723
24.8341,0.0375332
24.863,0.041813
24.8924,0.0490884
24.937,0.0649059
24.9796,0.0792764
25.011,0.0841899
25.0175,0.0843795
25.0526,0.0810499
25.1043,0.0704497
25.1358,0.0667082
25.1501,0.0664237
25.1787,0.0686787
25.2174,0.0774027
25.2497,0.0895729
25.2819,0.107213
25.3092,0.128447
25.332,0.1531
25.3547,0.187883
25.3737,0.228977
25.3927,0.286966
25.4098,0.360255
25.4261,0.456445
25.442,0.583236
25.458,0.751226
25.4739,0.968871
25.4921,1.28667
25.5149,1.79066
25.5566,2.93111
25.5854,3.68851
25.607,4.09626
25.6307,4.28961
25.6337,4.29217
25.6571,4.14178
25.6841,3.64074
25.7524,1.80019
25.7744,1.31062
25.7926,0.988624
25.8085,0.767271
25.8256,0.58531
25.841,0.462136
25.8563,0.369419
25.8734,0.293602
25.892,0.234623
25.911,0.191914
25.9337,0.155937
25.9588,0.128498
25.9853,0.107951
26.0172,0.0904763
26.0517,0.0771725
26.0955,0.0657778
26.1393,0.0587645
26.1864,0.0554819
26.1917,0.0554194
26.223,0.0567359
26.2529,0.0618426
26.2768,0.070361
26.2978,0.0827753
26.3157,0.0984903
26.3355,0.122758
26.3551,0.155164
26.3785,0.205155
26.4169,0.308607
26.4627,0.431756
26.4985,0.496826
26.6353,0.628306
26.6439,0.630675
26.6731,0.610221
26.7,0.546798
26.7332,0.423559
26.7751,0.253935
26.7968,0.182186
26.8143,0.136364
26.8295,0.105386
26.8448,0.0818503
26.86,0.0645686
26.8753,0.0522439
26.8899,0.0439304
26.9063,0.0375848
26.9251,0.032931
26.9485,0.0295001
26.9767,0.027305
27.0142,0.0260132
27.033,0.0257841
27.0829,0.0261514
27.1328,0.0278826
27.1827,0.0313472
27.2202,0.0357098
27.2498,0.0409656
27.2783,0.0486422
27.3011,0.0579166
27.3211,0.0697589
27.3396,0.0854958
27.3573,0.106583
27.3749,0.135854
27.3924,0.175367
27.4095,0.226644
27.4295,0.304733
27.452,0.417413
27.4866,0.633325
27.5308,0.920673
27.5636,1.07341
27.5944,1.13693
27.6055,1.14115
27.6449,1.09837
27.7046,0.940699
27.751,0.751908
27.8258,0.368617
27.851,0.262294
27.8713,0.194992
27.8896,0.148525
27.9052,0.118445
27.9208,0.0958351
27.9364,0.0792825
27.9542,0.0660682
27.9702,0.0580432
27.9916,0.0513375
28.0183,0.0473366
28.0397,0.0467147
28.0591,0.0479922
28.0834,0.0525564
28.1028,0.0595292
28.1219,0.070687
28.1379,0.0846306
28.1539,0.10426
28.1699,0.131181
28.1859,0.167039
28.2033,0.217907
