93-Np-237(n,total fission) ENDF/B-VII.1
17.1997,7.91723E-4
17.2437,8.06994E-4
17.2877,8.7194E-4
17.3171,9.57158E-4
17.3465,0.00110625
17.3662,0.00127204
17.3834,0.00149549
17.3991,0.00180313
17.4128,0.00219391
17.4266,0.00274502
17.4403,0.00351039
17.4528,0.00444267
17.4661,0.00572018
17.4815,0.00762842
17.5007,0.0106026
17.5517,0.0197699
17.5731,0.0223551
17.5918,0.023136
17.6116,0.0222603
17.6342,0.0194224
17.6887,0.00977906
17.7074,0.0071326
17.7224,0.00550744
17.7359,0.00442206
17.7479,0.00373133
17.7584,0.00331416
17.7719,0.00300013
17.7854,0.00289864
17.8019,0.00301021
17.8189,0.00333632
17.849,0.00422545
17.8842,0.00525731
17.9068,0.00558961
17.9132,0.00561214
17.936,0.00541633
17.9596,0.00481038
18.0211,0.00253831
18.0411,0.00193883
18.0599,0.00150864
18.0762,0.00123349
18.0924,0.00103443
18.1122,8.70548E-4
18.1322,7.64945E-4
18.1623,6.73325E-4
18.1998,6.13867E-4
18.2524,5.71124E-4
18.3224,5.42712E-4
18.4495,5.26239E-4
18.5896,5.39343E-4
18.6818,5.6938E-4
18.7578,6.20158E-4
18.8139,6.9145E-4
18.854,7.83673E-4
18.8836,9.04533E-4
18.9044,0.00104641
18.9216,0.00122814
18.9361,0.00145062
18.9511,0.00178107
18.9661,0.00224905
18.9811,0.0028956
18.9965,0.00378115
19.0137,0.00507742
19.0365,0.00725446
19.0819,0.012108
19.1023,0.0136852
19.1232,0.0143685
19.1258,0.0143771
19.1434,0.0139791
19.1641,0.0126111
19.1977,0.00916285
19.2283,0.0059674
19.2463,0.00444215
19.2631,0.00333523
19.2771,0.00263146
19.2912,0.00210213
19.3034,0.00175657
19.3176,0.00146451
19.3343,0.00122826
19.3533,0.00105402
19.3771,9.22691E-4
19.4028,8.40222E-4
19.4352,7.81553E-4
19.4838,7.41642E-4
19.5163,7.34776E-4
19.5733,7.54066E-4
19.6114,7.93749E-4
19.6494,8.70872E-4
19.6785,9.81016E-4
19.6985,0.00110919
19.7136,0.00125364
19.7311,0.00150393
19.7461,0.00182033
19.7617,0.00228499
19.7763,0.00288974
19.7926,0.0037926
19.8108,0.00512036
19.8328,0.00716603
19.8814,0.012221
19.905,0.0138779
19.9247,0.0143563
19.945,0.0138573
19.9651,0.0124942
20.0032,0.00862014
20.0307,0.00585881
20.0494,0.00435323
20.0657,0.00333261
20.0803,0.00263536
20.0955,0.00210346
20.1104,0.00173081
20.1275,0.00144279
20.1445,0.0012595
20.1616,0.0011487
20.1815,0.00108471
20.1947,0.00107371
20.2146,0.00110299
20.236,0.00120402
20.2574,0.00139363
20.2798,0.00170394
20.3068,0.00222609
20.3572,0.00333108
20.3833,0.00367491
20.3976,0.00372759
20.4176,0.00362336
20.4428,0.00323408
20.504,0.00188336
20.5244,0.00152903
20.546,0.00125357
20.5677,0.00107202
20.5936,9.46937E-4
20.6242,8.80789E-4
20.6619,8.61668E-4
20.7169,8.93891E-4
20.7717,9.83543E-4
20.8125,0.00111371
20.8397,0.00126555
20.8584,0.0014289
20.8761,0.00165999
20.8938,0.00200788
20.9089,0.00244393
20.9241,0.00305759
20.937,0.00375956
20.9509,0.00474303
20.9676,0.00627985
20.9875,0.00865886
21.0171,0.0130548
21.0495,0.0179902
21.0707,0.0203786
21.0928,0.0214925
21.0963,0.0215196
21.1162,0.0208844
21.14,0.0186303
21.1965,0.0110956
21.2152,0.00921578
21.2349,0.00786433
21.2529,0.00715231
21.281,0.00669363
21.3262,0.00623073
21.356,0.00548131
21.4241,0.00301336
21.4466,0.00237224
21.4662,0.00195989
21.4882,0.00164102
21.5062,0.00147272
21.5332,0.00132953
21.5593,0.0012705
21.5861,0.00125755
21.6263,0.00129629
21.6666,0.00139629
