94-Pu-242(n,total fission) ENDF/B-VII.1
216.162,0.00312717
216.203,0.00267311
216.257,0.00225201
216.326,0.00188971
216.408,0.00158299
216.51,0.00130829
216.637,0.00106776
216.78,8.75431E-4
216.948,7.18311E-4
217.136,5.96048E-4
217.347,5.02868E-4
217.557,4.41143E-4
217.803,3.99656E-4
217.987,3.89393E-4
218.172,4.02699E-4
218.294,4.34614E-4
218.371,4.75878E-4
218.433,5.36741E-4
218.479,6.15757E-4
218.517,7.21066E-4
218.547,8.42989E-4
218.575,0.0010019
218.603,0.0012215
218.631,0.00152332
218.659,0.00193473
218.687,0.00248965
218.715,0.00322888
218.743,0.00420016
218.772,0.00552871
218.801,0.00723992
218.835,0.00975297
218.868,0.0129542
218.909,0.0178514
218.954,0.0246373
219.012,0.0356061
219.164,0.0677925
219.232,0.0780341
219.296,0.0817529
219.3,0.0817677
219.363,0.0785625
219.425,0.0697375
219.53,0.0478035
219.614,0.0304401
219.665,0.0216456
219.706,0.0158037
219.745,0.0115517
219.778,0.00868866
219.807,0.00666076
219.836,0.00506376
219.866,0.00382858
219.895,0.00288949
219.922,0.00223005
219.95,0.00171583
219.979,0.0013361
220.007,0.00105817
220.035,8.55966E-4
220.067,6.95594E-4
220.098,5.82906E-4
220.134,4.94122E-4
220.173,4.27511E-4
220.222,3.71602E-4
220.28,3.26819E-4
220.378,2.78217E-4
220.518,2.33892E-4
220.685,1.99111E-4
220.886,1.71301E-4
221.137,1.48192E-4
221.505,1.26504E-4
221.965,1.09519E-4
222.425,9.83342E-5
223.0,8.9456E-5
223.864,8.17136E-5
224.981,7.83606E-5
225.869,8.0802E-5
226.757,8.76687E-5
227.392,9.70073E-5
228.132,1.14716E-4
228.618,1.32946E-4
229.041,1.55994E-4
229.464,1.89372E-4
229.848,2.33692E-4
230.168,2.87945E-4
230.442,3.55313E-4
230.667,4.33279E-4
230.881,5.37501E-4
231.051,6.53918E-4
231.209,8.03577E-4
231.354,9.97763E-4
231.469,0.00121145
231.568,0.0014631
231.656,0.00177933
231.728,0.0021535
231.785,0.00259847
231.832,0.00314336
231.869,0.00376039
231.906,0.0046415
231.937,0.00567338
231.968,0.00709126
231.998,0.00904122
232.027,0.0115079
232.056,0.0147966
232.085,0.0191417
232.113,0.0248198
232.142,0.0321453
232.174,0.0427868
232.207,0.0564649
232.243,0.0758345
232.283,0.103282
232.329,0.143249
232.385,0.203909
232.562,0.429016
232.629,0.489246
232.695,0.51244
232.7,0.512546
232.766,0.492057
